BARCODE,Item #,Item Type,Category,PP Deck (Y/N),Ownership,Condition,SKU,DONATION FY26 (Y/N),Notes,Availability,Retail($),Cost($),Dest (Y/N),RETAIL YEAR
6292854,,ROUND SHADE ROOM CH,Lighting,,,,,,,0,0.0,0.0,Y,
6294868,,ALLEN FLOOR LAMP IN POLISHED,Lighting,,,,,,,0,0.0,0.0,Y,
6295203,,EMPIRE PEDESTAL TABLE - TABLE BASE,TABLE,,,,,,,Available,,,,
6295898,,Mordern Hollywood Ottoman RA11474 - NORRIS/SCHAPE,Furniture,,,Display,,,,0,0.0,0.0,,
6295995,,TABLE TOP PERSONAL STORAGE /ALALI,Furniture,,,Display,,,,0,0.0,0.0,,
6297780,,EQUILIBRIUM TABLE LAMP PN / RL11173PN,Lighting,,,,42557488,,,0,1619.0,362.78066666666666,Y,2013.0
6297782,,FAIRFIELD pharmacy fl lamp,Lighting,,,,42522060,,,0,1039.0,228.5257894736842,Y,2011.0
6298504,,Table Base Personal Storage /ALALI,Furniture,,,Display,,,,0,0.0,0.0,,
6298520,,RIVER REED STRIPE RUG,Rug,,,,,,,0,0.0,0.0,,
6299335,,BLACK TABLE TOP,Furniture,,polo,Display,,,,Sellable,0.0,0.0,Y,
6300322,,ANETTE LIBRARY LIGHT IN NATURAL BRASS 2270NB,Lighting,,,,,,,0,0.0,0.0,Y,
6300338,,hollis flr lamp RL1130NB-L,Lighting,,,,41806449,,,0,3149.85,748.21,Y,2019.0
6301402,,Modern Small Lantern in Polished Nickel RL5175PN,Lighting,,,,43555721,,,0,1849.0,390.13,Y,2013.0
6301535,,RL 67 BOOM ARM FLOOR LAMP BZ / RL14028BZ,Lighting,,,,42508622,,,0,1305.0,416.06,Y,2019.0
6303408,,JULIANNE LARGE SMOKE BELL PENDANT IN NATURAL BRASS RL5214NB-CG,Lighting,,,,41836289,,,0,3150.0,766.46,Y,2019.0
6303803,,PENTHOUSE SUITE FLUTED COMMODE/35010-48,Furniture,,polo,Display,43652734,,,Sellable,0.0,0.0,,2020.0
6303884,,Refectory Work Table RL39209-20,Furniture,,Polo,Missing pieces,42239095,,damage,Damaged,13350.0,3337.5,,2019.0
6306298,,TREMONT CHAIR 656-03,Furniture,,,Display,,,,0,0.0,0.0,Y,
6306604,,WARNER PHARMACY TABLE LAMP/RL3147CG/NB,Lighting,,,,,,,0,0.0,0.0,Y,
6306605,,BOOM ARM TASK LAMP/RL3030PN RL 67,Lighting,,,,42559278,,,0,1159.0,325.735,Y,2011.0
6306607,,BARRETT SMALL SINGLE SCONCES/RL2220NB,Lighting,,,,42521393,,,0,709.0,154.98,Y,2017.0
6306609,,"ANETTE 24"" (LARGE) PICTURE LIGHT NB / RL2277NB",Lighting,,,,42556316,,,0,1279.0,268.2366666666667,Y,2011.0
6306610,,HOLLIS FLOOR LAMP IN NB/RL1130NB,Lighting,,,,40359416,,,0,3000.0,730.0,Y,2018.0
6306723,,ALLEN SINGLE SCONCE IN PN/RL2080PN,Lighting,,,,42556233,,,0,649.0,145.6942857142857,Y,2011.0
6306724,,ALLEN SINGLE SCONCE IN PN/RL2080PN,Lighting,,,,42556233,,,0,649.0,145.6942857142857,Y,2011.0
6306726,,"ANETTE 16"" (MEDIUM) PICTURE LIGHT BZ / RL2276BZ",Lighting,,,,42556290,,,0,929.0,181.784,Y,2011.0
6306728,,"ANETTE 16"" (MEDIUM) PICTURE LIGHT BZ / RL2276BZ",Lighting,,,,42556290,,,0,929.0,181.784,Y,2011.0
6306729,,LANGHAM LARGE PICTURE LIGHT IN NB/RL2788NB,Lighting,,,,38997763,,,0,1819.0,369.60999999999996,Y,2024.0
6306759,,UPTON LARGE LANTERN IN BRONZE/RL5156BZ,Lighting,,,,42559617,,,0,2189.0,469.73,Y,2024.0
6306761,,BARRETT LARGE KNURLED CHAND HARDWARE &SHADES/RL5226NB-NB,Lighting,,,,,,,0,0.0,0.0,Y,
6306762,,BARRETT LARGE KNURLED LINEAR CHAND/RL5226NB-NB,Lighting,,,,45387008,,,0,1429.0,259.98,Y,2020.0
6307765,,BAUHAUS TUBULAR DESK/3500-45,Furniture,,polo,Display, no sku,,,Sellable,0.0,0.0,,
6308349,,ARCHED KING BED HB/39601-12,Furniture,,Polo,Display, ,,,Sellable,0.0,0.0,Y,
6308350,,ARCHED KING BED FB/39601-12,Furniture,,Polo,Display,41801002,,,Sellable,6177.0,1181.25,Y,2019.0
6308351,,ARCHED KING BED S.R/39601-12,Furniture,,Polo,Display, ,,,Sellable,0.0,0.0,Y,
6308406,,ARCHER KING BED/SLATS/39601-12,Furniture,,Polo,Display, ,,,Sellable,0.0,0.0,Y,
6309302,,BLEEKER TRIPLE BATH SCONCE IN BRASS/RL2535NB-WG,Lighting,,,,41834664,,,0,1188.0,289.04,Y,2019.0
6309304,,LANGHAM DISPLAY FLOOR LAMP IN BRASS/RL1388NB,Lighting,,,,41122508,,,0,4500.0,714.78,Y,2018.0
6309306,,LANGHAM LG PIC LIGHT IN BRASS/RL2788NB,Lighting,,,,42485615,,,0,1439.0,338.98,Y,2019.0
6309532,,ISLA SMALL TABLE LAMP IN WHITE LEATHER CERAMIC/3622WLC-L,Lighting,,,,,,,0,0.0,0.0,Y,
6309535,,SHADE FOR ISLA SMALL TABLE LAMP IN WHITE LEATHER CERAMIC/3622WLC-L,Lighting,,,,,,,0,0.0,0.0,Y,
6309536,,RL ''67 BOOM ARM WALL LAMP IN NB/14029BN,Lighting,,,,42559351,,,0,769.0,187.5,Y,2010.0
6309537,,RL ''67 BOOM ARM WALL LAMP IN NB/14029BN,Lighting,,,,42559351,,,0,769.0,187.5,Y,2010.0
6309540,,CAGAN SMALL TABLE LAMP IN CLEAR CARVED GLASS/3921CCG-P,Lighting,,,,41822446,,,0,948.0,291.96,Y,2019.0
6309541,,SHADE FOR CAGAN SMALL TABLE LAMP IN CLEAR CARVED GLASS/3921CCG-P,Lighting,,,,,,,0,0.0,0.0,Y,
6309543,,ARCHED QUEEN HEADBOARD / RLU39601-10HB,Furniture,,Polo,Display, ,,,Sellable,0.0,0.0,Y,
6309562,,HALIFAX TABLE LAMP IN BLACK CERAMIC W/ FAUX DRUM SKIN SHADE/3633BLK-DS,Lighting,,,,35834654,,,0,1279.0,282.13,Y,2014.0
6309563,,SHADE FOR HALIFAX TABLE LAMP IN BLACK CERAMIC W/ FAUX DRUM SKIN SHADE/3633BLK-DS,Lighting,,,,,,,0,0.0,0.0,Y,
6309587,,FAIRFIELD PHARMACY FLOOR LAMP IN NB/11165BN,Lighting,,,,42557629,,,0,1039.0,226.76214285714286,Y,2010.0
6309592,,SHADE FOR DARIEN FLOOR LAMP IN NB,Lighting,,,,,,,0,0.0,0.0,Y,
6309612,,MAYFAIR DINING ARM CHAIR / RLU30000-27,Furniture,,polo,Display,40353708,,,Sellable,5160.0,1290.0,Y,2018.0
6309619,,BLACK PALMS WOVEN OTTOMAN/39001-04,Furniture,,polo,Display,,,,Sellable,0.0,0.0,,
6310184,,ELLIS BEDSIDE LAMP PN (BASE) / RL3965PN-Q-P,Lighting,,,,42485490,,,0,2639.0,678.8733333333333,Y,2019.0
6310188,,SQUARE CLOSED TOP PERCAL TO RL3966PN/Q-P,Lighting,,,,,,,0,0.0,0.0,Y,
6310359,,UPPER FIFTH TABLE LAMP IN BROWN CROC LEATHER/RL3470BRN-S,Lighting,,,,,,,0,0.0,0.0,Y,
6310361,,BROMPTON SWING ARM TABLE LAMP IN NB/RL3501NB,Lighting,,,,25266818,,,0,1449.0,338.48,Y,2019.0
6310370,,NORDY FRITTER ROUND PERCALE-SHADE,LIGHTING,,,,,,,Available,,,,
6310372,,WILLOUGHBY MEDIUM PICTURE LIGHT IN BRONZE/RL2697BZ,Lighting,,,,42485805,,,0,685.0,216.04,Y,2019.0
6310373,,EVANS LIBRARY SCONCE IN BZ W/PERCALL SHADE /RL2004BZ-P,Lighting,,,,42557546,,,0,389.0,86.56333333333333,Y,2014.0
6310374,,ALLEN DOUBLE LIGHT SCONCE PN / RL2082PN,Lighting,,,,42515320,,,0,685.0,170.70000000000002,Y,2019.0
6310377,,"ANETTE 16"" PICTURE LIGHT IN PN/RL2276PN",Lighting,,,,,,,0,0.0,0.0,Y,
6310380,,VARICK FLOOR LIGHT IN NB/RL1345NB,Lighting,,,,,,,0,0.0,0.0,Y,
6310412,,VARICK TABLE LAMP CRYSTAL IN NB W/SHADE/RL3941CG/NB-P,Lighting,,,,42485755,,,0,1139.0,307.235,Y,2019.0
6310413,,BARRETT MEDIUM KNURLED TABLE LAMP NB WITH LINEN SHADE / RL3094NB-L,Lighting,,,,41903360,,,0,1339.0,302.478,Y,2017.0
6310414,,MODERN TABLE LAMP W/SHADE/RL11167DS-P,Lighting,,,,42558775,,,0,1279.0,268.19217391304346,Y,2012.0
6310415,,BARETT LARGE FLOOR LAMP LINEN SHADE/RL1090PN-L,Lighting,,,,44889244,,,0,2879.0,650.4345454545454,Y,2017.0
6310416,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6310418,,BARRETT LARGE FLOOR LAMP-LINEN SHADE/RL109OPN-L,Lighting,,,,42485292,,,0,2389.0,451.58,Y,2019.0
6311502,,BARTON MEDIUM BATH SCONCE NB / RL2032NB-EC,Lighting,,,,42515338,,,0,965.0,306.56,Y,2019.0
6311503,,"ANETTE 16"" PICTURE LIGHT IN NB-RL2276NB",Lighting,,,,42556308,,,0,929.0,210.55083333333334,Y,2011.0
6311504,,ROUND SHADE (LAMP SHADE),Lighting,,,,,,,0,0.0,0.0,Y,
6311505,,17x18x13.5L (LAMP SHADE),Lighting,,,,,,,0,0.0,0.0,,
6311506,,(LAMP SHADE)-RL3080PN-WP,Lighting,,,,,,,0,0.0,0.0,Y,
6311507,,(LAMP SHADE)-RL61004SH,Lighting,,,,,,,0,0.0,0.0,,
6311508,,CLAUDE STRIPE LAUREL LWP66239W (BOX OF WALL COVERING),Wallpaper,,,,,,,0,0.0,0.0,,
6311509,,YACARE CROC MAHOGANY LWP40879W (BOX OF WALL COVERING),Wallpaper,,,,,,,0,0.0,0.0,,
6311510,,SCONCE PLUS TWO METAL SHADES-RL2252PN,Lighting,,,,,,,0,0.0,0.0,Y,
6311511,,AYMELINE DOUBLE SCONCE-RL2106BS-S,Lighting,,,,42556415,,,0,809.0,182.465,Y,2011.0
6311512,,SINGLE AYMELINE-RL2105BS-S,Lighting,,,,42556415,,,0,809.0,182.465,Y,2011.0
6312469,,CURTAIN HARDWARE,Prop,,,,,,,0,0.0,0.0,,
6313163,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313164,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313165,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313166,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313167,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313168,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313169,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313170,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313171,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313172,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313173,,LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6313179,,EMPIRE PEDESTAL TABLE BASE,Furniture,,polo,Display,,,,0,0.0,0.0,,
